transcriptID_trim,log2FoldChange
TRINITY_DN132125_c0_g2,-1.657244328
TRINITY_DN136536_c2_g30,1.332129192
TRINITY_DN126349_c7_g1,1.646457551
TRINITY_DN148153_c11_g7,-0.43228186
TRINITY_DN142336_c0_g5,1.2989215
TRINITY_DN144530_c0_g2,-0.428236614
TRINITY_DN145324_c2_g15,-0.657892452
TRINITY_DN135551_c0_g1,1.26084289
TRINITY_DN135617_c0_g2,0.535397936
TRINITY_DN144809_c3_g14,-1.026539091
TRINITY_DN145574_c0_g2,1.255980475
TRINITY_DN150049_c0_g11,0.56725695
TRINITY_DN150505_c4_g6,1.34625596
TRINITY_DN148088_c0_g2,1.596942142
TRINITY_DN125519_c3_g1,2.11449877
TRINITY_DN145730_c2_g23,0.996807678
TRINITY_DN146918_c0_g4,1.241715151
TRINITY_DN148777_c1_g7,-1.275234364
TRINITY_DN146387_c5_g12,-1.009389629
TRINITY_DN125842_c0_g1,-1.123882016
TRINITY_DN146337_c0_g1,1.651857734
TRINITY_DN126861_c1_g1,-0.971362277
TRINITY_DN131696_c0_g1,0.920244692
TRINITY_DN136203_c0_g2,-1.631485603
TRINITY_DN133155_c3_g3,-1.613227034
TRINITY_DN135425_c1_g1,0.677936913
TRINITY_DN143280_c3_g12,0.578521025
TRINITY_DN146731_c0_g4,0.707806713
TRINITY_DN150355_c0_g4,1.555281592
TRINITY_DN141253_c0_g1,0.814277548
TRINITY_DN135394_c0_g5,0.620146585
TRINITY_DN133273_c2_g17,-1.710584246
TRINITY_DN141991_c0_g1,-1.123524321
TRINITY_DN128948_c1_g1,-1.125649297
TRINITY_DN146337_c1_g7,1.121231977
TRINITY_DN149180_c0_g1,1.673024039
TRINITY_DN149558_c0_g4,0.751453085
TRINITY_DN118185_c3_g1,-1.056612663
TRINITY_DN127493_c0_g1,-1.709040029
TRINITY_DN138729_c0_g9,0.930854976
TRINITY_DN139551_c0_g6,1.158751035
TRINITY_DN142847_c7_g2,-0.674317435
TRINITY_DN143737_c0_g1,1.164915537
TRINITY_DN144120_c0_g1,1.847889326
TRINITY_DN144953_c0_g5,-0.513298992
TRINITY_DN148078_c0_g28,1.035386853
TRINITY_DN148382_c2_g35,-0.732075254
TRINITY_DN149711_c4_g2,1.516260253
TRINITY_DN150278_c0_g8,1.514824888
TRINITY_DN142702_c2_g7,1.589652809
TRINITY_DN146622_c0_g2,1.806171097
TRINITY_DN77781_c0_g1,1.004816544
TRINITY_DN151530_c3_g1,0.966235493
TRINITY_DN124913_c0_g1,1.425818438
TRINITY_DN150207_c2_g2,0.944720785
TRINITY_DN150944_c10_g24,-0.981763763
TRINITY_DN148999_c0_g5,-0.57908311
TRINITY_DN122614_c0_g1,1.874882375
TRINITY_DN129920_c0_g1,0.444485868
TRINITY_DN139179_c12_g10,-1.066636935
TRINITY_DN141440_c0_g8,-0.45712046
TRINITY_DN147782_c0_g2,-1.024763503
TRINITY_DN148147_c2_g2,0.682704477
TRINITY_DN143931_c0_g2,1.335246637
TRINITY_DN144067_c1_g5,-0.801226503
TRINITY_DN145225_c1_g10,-0.853570012
TRINITY_DN142984_c0_g2,-1.204631864
TRINITY_DN128607_c1_g1,0.742217592
TRINITY_DN139028_c0_g7,-1.36510823
TRINITY_DN137657_c0_g1,-1.114451376
TRINITY_DN137695_c0_g2,1.795201758
TRINITY_DN130435_c0_g1,1.164328903
TRINITY_DN146202_c1_g2,0.482624392
TRINITY_DN134891_c0_g2,1.28706497
TRINITY_DN77441_c0_g1,0.669824644
TRINITY_DN123715_c0_g1,1.793057097
TRINITY_DN146762_c4_g8,-1.10861524
TRINITY_DN147048_c0_g11,-1.342113028
TRINITY_DN134028_c0_g1,1.402272875
TRINITY_DN138216_c3_g2,0.846153599
TRINITY_DN138845_c0_g2,1.749334011
TRINITY_DN145297_c0_g1,-0.28548664
TRINITY_DN151465_c0_g1,1.048240274
TRINITY_DN141661_c0_g1,1.221726684
TRINITY_DN146256_c1_g7,1.123485414
TRINITY_DN135961_c0_g1,-0.508658468
TRINITY_DN141189_c0_g1,-0.639770649
TRINITY_DN124708_c0_g1,1.196081365
TRINITY_DN135104_c7_g2,-1.255224186
TRINITY_DN150394_c6_g19,0.622354484
TRINITY_DN142076_c1_g9,0.52112145
TRINITY_DN145806_c0_g17,0.756480241
TRINITY_DN149712_c3_g32,-1.5297532
TRINITY_DN133083_c0_g1,-0.949402007
TRINITY_DN147468_c1_g11,0.471150328
TRINITY_DN91416_c0_g1,0.725944179
TRINITY_DN130401_c1_g1,1.250820428
TRINITY_DN146398_c0_g2,-0.565646933
TRINITY_DN116139_c0_g1,1.950346157
TRINITY_DN132408_c0_g6,1.079246755
TRINITY_DN133882_c0_g11,0.425294186
TRINITY_DN137560_c0_g5,1.625443295
TRINITY_DN140614_c4_g2,0.956448025
TRINITY_DN148973_c3_g29,1.415665485
TRINITY_DN146200_c0_g4,-1.000073119
TRINITY_DN151066_c10_g15,0.696094824
TRINITY_DN133834_c2_g1,0.791859985
TRINITY_DN146593_c1_g1,1.467829081
TRINITY_DN147802_c0_g19,1.402193303
TRINITY_DN140862_c0_g1,1.11743885
TRINITY_DN145010_c2_g17,1.486545085
